priority_rank,priority_tier,spatial_unit_id,location_name,location_type,police_station_mode,unit_latitude,unit_longitude,final_priority_score,score_ml,score_recent30,score_priority,daily_impact_signal_roll_sum_7d,daily_impact_signal_roll_sum_30d,recent_persistence_30d,high_obstruction_share_30d,hist_total_events,hist_confidence_score,recommended_action,recommended_time_window,priority_reason
1,Critical,junction_BTP082 - KR Market Junction,BTP082 - KR Market Junction,Named junction,City Market,12.9643788,77.5769647,0.9997807017543858,663.0535071800599,3083.8725625,2296.3238331850675,717.8236875,3083.8725625,1.0,0.033144704931285365,9096.0,0.9482322066103669,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
2,Critical,junction_BTP051 - Safina Plaza Junction,BTP051 - Safina Plaza Junction,Named junction,Shivajinagar,12.9812197,77.60871135,0.9994883040935673,600.2454118597055,3499.315625,2961.0824305495285,1143.43125,3499.315625,1.0,0.054181818181818185,11313.0,0.953247553835348,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
3,Critical,junction_BTP040 - Elite Junction,BTP040 - Elite Junction,Named junction,Upparpet,12.9769346,77.5764792,0.9985380116959064,578.0157890338079,2346.3760625,1694.1895194388821,518.2438125,2346.3760625,1.0,0.003519356460532931,8693.0,0.9471294767263914,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
4,Critical,junction_BTP044 - Sagar Theatre Junction,BTP044 - Sagar Theatre Junction,Named junction,Upparpet,12.9744718,77.578938,0.9978070175438597,458.1852197757026,2154.1883125000004,1418.1426536699591,319.6018125000001,2154.1883125000004,1.0,0.02023298589822195,8459.0,0.9464550426575041,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
5,Critical,junction_BTP211 - Central Street Junction,BTP211 - Central Street Junction,Named junction,Shivajinagar,12.9840384,77.6034488,0.9970760233918128,377.7076460029767,1398.7800625,1246.6986568346158,538.0669375,1398.7800625,1.0,0.061946902654867256,3990.0,0.9209982499268696,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
6,Critical,junction_BTP057 - Anand Rao Junction,BTP057 - Anand Rao Junction,Named junction,Upparpet,12.979290599999999,77.5748695,0.996016081871345,300.34385628912054,1063.74925,853.8026690749002,354.35068750000005,1063.74925,0.9333333333333333,0.02533532041728763,3043.0,0.9077921340117938,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
7,Critical,junction_BTP058 - Subbanna Junction,BTP058 - Subbanna Junction,Named junction,Upparpet,12.9789676,77.5786053,0.9956140350877192,252.91218014078478,1241.464375,825.9197148043884,209.53124999999997,1241.464375,1.0,0.00842358604091456,4048.0,0.9214868240732665,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
8,Critical,"junction_BTP080 - NR Road, SP Road Junction","BTP080 - NR Road, SP Road Junction",Named junction,City Market,12.9643324,77.5839403,0.9934576023391812,201.25476843540363,772.0654375,550.9105060528653,191.56387500000005,772.0654375,0.9,0.03395585738539898,2837.0,0.8928710091047178,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
9,Critical,junction_BTP027 - Modi Bridge Junction,BTP027 - Modi Bridge Junction,Named junction,Rajajinagar,12.9991769,77.5495821,0.9932748538011694,170.3320807509339,757.8996875,626.9581063370545,256.13593749999995,757.8996875,0.9666666666666667,0.046583850931677016,3541.0,0.9133507846141146,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
10,Critical,"junction_BTP001 - 10th Cross, Dr. Rajkumar Road","BTP001 - 10th Cross, Dr. Rajkumar Road",Named junction,Malleshwaram,13.0082642,77.5545231,0.9925804093567251,148.49836157197774,987.8388125,619.5282587174772,148.74156250000001,987.8388125,0.9666666666666667,0.004379562043795621,2274.0,0.8839186329718789,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
11,Critical,h3_8961892e2bbffff,h3_8961892e2bbffff,H3/grid hotspot cell,K.R. Pura,13.0082094,77.6953661,0.9922149122807017,132.17133172790344,1063.7979500000001,748.4794774165489,98.08460000000004,1063.7979500000001,1.0,0.4046094750320102,2490.0,0.9034157172142916,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
12,Critical,junction_BTP045 - Danvanthri Road Junction,BTP045 - Danvanthri Road Junction,Named junction,Upparpet,12.977611,77.5747862,0.9917763157894738,149.0445743831577,710.8385625,524.6812233800202,166.728625,710.8385625,1.0,0.06279069767441861,2438.0,0.8990554210842788,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
13,Critical,h3_8961892e387ffff,h3_8961892e387ffff,H3/grid hotspot cell,Banaswadi,13.000418,77.67702525,0.9911915204678362,145.51688959440222,736.3294000000001,573.671143309796,219.3404,736.3294000000001,0.7,0.3556701030927835,1414.0,0.8026182336419961,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
14,Critical,"junction_BTP083 - AS Char Street, Mysore Road","BTP083 - AS Char Street, Mysore Road",Named junction,City Market,12.966414,77.5745079,0.9900219298245614,126.39664636794825,1017.3728750000001,596.3995454473397,70.69925,1017.3728750000001,0.9666666666666667,0.12835249042145594,2227.0,0.8795379520306723,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
15,Critical,h3_89618920923ffff,h3_89618920923ffff,H3/grid hotspot cell,HAL Old Airport,12.933571,77.6910126,0.9894736842105263,111.1123769105626,1386.4805,793.9035464772907,128.03,1386.4805,0.6333333333333333,0.30049261083743845,5575.0,0.8442084020254921,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
16,Critical,h3_8961892e917ffff,h3_8961892e917ffff,H3/grid hotspot cell,Shivajinagar,12.9827307,77.61073065,0.9888523391812865,130.896005229204,508.71235,466.21262312933936,247.473,508.71235,0.9333333333333333,0.011320754716981131,1888.0,0.8653099855484591,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
17,Critical,h3_8961892e16bffff,h3_8961892e16bffff,H3/grid hotspot cell,Mahadevapura,12.9960931,77.66817318,0.9865497076023392,101.35976905771483,659.22745,537.8254567406325,124.58500000000001,659.22745,0.8,0.7382352941176471,975.0,0.8003295496288676,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
18,Critical,h3_8960145b377ffff,h3_8960145b377ffff,H3/grid hotspot cell,Malleshwaram,13.0120977,77.5525944,0.9863304093567251,125.51004870748312,442.5468,302.9206339566726,95.8886,442.5468,0.9666666666666667,0.005221932114882507,1670.0,0.87538265937695,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
19,Critical,h3_89618920babffff,h3_89618920babffff,H3/grid hotspot cell,HAL Old Airport,12.9504774,77.699803,0.9862573099415204,100.46059841178199,739.94775,517.4791020994703,91.55999999999999,739.94775,0.7,0.7868852459016393,711.0,0.7274137094834088,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
20,Critical,h3_8960145b30fffff,h3_8960145b30fffff,H3/grid hotspot cell,Malleshwaram,13.011284,77.5545047,0.9861476608187134,118.99474556376823,460.53945000000004,312.465369443973,106.82300000000001,460.53945000000004,0.9,0.00437636761487965,1863.0,0.8647068372513266,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
21,Critical,h3_8960145b2a7ffff,h3_8960145b2a7ffff,H3/grid hotspot cell,Malleshwaram,13.00749675,77.57115505,0.9858187134502924,129.26251112749466,379.69550000000004,256.0129694356113,98.79500000000002,379.69550000000004,0.7666666666666667,0.0028653295128939827,2094.0,0.8751427018892252,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
22,Critical,h3_89601690193ffff,h3_89601690193ffff,H3/grid hotspot cell,Chikkajala,13.1850044,77.6798379,0.9849415204678361,90.04426033030774,779.00725,501.2290487914037,99.78200000000001,779.00725,0.9666666666666667,0.12840466926070038,2066.0,0.8815490399580466,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
23,Critical,junction_BTP023 - Mahalaxmi Layout Entrance,BTP023 - Mahalaxmi Layout Entrance,Named junction,Malleshwaram,13.0083982,77.5486303,0.9847587719298245,95.73903391140686,586.725125,366.16773302764994,85.5340625,586.725125,0.9666666666666667,0.03684210526315789,1391.0,0.8577406579859198,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
24,Critical,h3_89618920963ffff,h3_89618920963ffff,H3/grid hotspot cell,HAL Old Airport,12.93975275,77.6955437,0.9845029239766081,82.40769507712572,921.5459500000001,671.138090726192,122.51720000000002,921.5459500000001,0.6,0.9260450160771704,1304.0,0.7548096343830989,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
25,Critical,junction_BTP048 - Shanthala Junction,BTP048 - Shanthala Junction,Named junction,Chamarajpet,12.97724275,77.57076585,0.9814692982456139,75.39241670122878,573.4484375000001,343.60310623615464,58.12187500000001,573.4484375000001,0.8666666666666667,0.22252747252747251,1221.0,0.809087327066105,Daily focused enforcement,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
26,High,junction_BTP043 - Upparpet Junction,BTP043 - Upparpet Junction,Named junction,City Market,12.9703435,77.5757314,0.9811769005847952,91.47750659253977,335.8665,256.80546630554096,111.88,335.8665,0.8666666666666667,0.02181818181818182,1389.0,0.8629131066425262,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
27,High,junction_BTP104 - Medical College Circle,BTP104 - Medical College Circle,Named junction,City Market,12.9594077,77.5766327,0.9807383040935672,85.71559334992902,399.90993749999996,262.56500391436646,99.3421875,399.90993749999996,0.8333333333333334,0.01171875,1064.0,0.8016968954526913,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
28,High,junction_BTP038 - Mysore Bank Junction,BTP038 - Mysore Bank Junction,Named junction,Halasuru Gate,12.9733694,77.5811933,0.9790570175438595,88.36620339945684,317.73656250000005,222.04578566200846,79.84281250000001,317.73656250000005,0.9,0.026041666666666668,1583.0,0.8536050866791541,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
29,High,junction_BTP020 - Hosahalli Metro Station,BTP020 - Hosahalli Metro Station,Named junction,Vijayanagara,12.9744156,77.5452418,0.9789108187134502,72.42842046002423,458.203125,252.31625841263806,51.15624999999997,458.203125,0.7666666666666667,0.019230769230769232,3065.0,0.8661057712924168,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
30,High,h3_8960169052fffff,h3_8960169052fffff,H3/grid hotspot cell,Chikkajala,13.183755,77.67966248,0.9783260233918127,67.42640013415858,426.89375,269.4917373092798,45.2775,426.89375,0.9666666666666667,0.21285140562248997,1024.0,0.836293241550794,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
31,High,h3_896016964b7ffff,h3_896016964b7ffff,H3/grid hotspot cell,Kodigehalli,13.0713522,77.5880733,0.9776315789473684,70.46106412029333,420.61175000000003,248.85162604363987,57.3625,420.61175000000003,0.9333333333333333,0.0014367816091954023,2246.0,0.8379403951499583,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
32,High,junction_BTP108 - Tagore Park Junction,BTP108 - Tagore Park Junction,Named junction,Basavanagudi,12.94375175,77.5711117,0.9754751461988304,72.97537890095195,267.5876875,205.20985306048183,85.32581250000001,267.5876875,0.8666666666666667,0.06967213114754098,1333.0,0.8555853074353276,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
33,High,"junction_BTP070 - Cholurpalya Junction, Magadi Road","BTP070 - Cholurpalya Junction, Magadi Road",Named junction,Magadi Road,12.9734822,77.5510423,0.9754020467836257,62.36169243398577,366.4685,267.87901054063354,116.78575000000001,366.4685,0.8666666666666667,0.010256410256410256,1558.0,0.8213695354113081,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
34,High,junction_BTP042 - Minsk Square Junction (CTO),BTP042 - Minsk Square Junction (CTO),Named junction,Shivajinagar,12.9811253,77.59847395,0.9752558479532163,63.5975448933212,373.13375,251.1014782759406,107.52625,373.13375,0.7333333333333333,0.009523809523809525,1780.0,0.8241612405738787,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
